Ann ee,situation,Genre,Secteur disciplinaire,% emplois ext erieurs à la r egion de l’universit e
2018,18 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,30
2016,18 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,54
2012,18 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,69
2016,30 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,56
2013,18 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,51
2013,18 mois après le diplôme,femmes,Math ematiques appliqu ees et sciences sociales,50
2018,30 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,24
2018,18 mois après le diplôme,femmes,Sciences de l'ing enieur,43
2013,30 mois après le diplôme,femmes et hommes,Sciences de l'ing enieur,50
2018,18 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,37
2014,18 mois après le diplôme,hommes, electronique  g enie  electrique,48
2016,30 mois après le diplôme,hommes, electronique  g enie  electrique,37
2011,30 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,54
2012,18 mois après le diplôme,hommes, electronique  g enie  electrique,58
2013,30 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,47
2018,30 mois après le diplôme,hommes, electronique  g enie  electrique,37
2018,18 mois après le diplôme,femmes et hommes,G enie civil,48
2017,30 mois après le diplôme,hommes,G enie civil,51
2012,18 mois après le diplôme,femmes et hommes,G enie civil,54
2014,30 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),41
2012,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),44
2011,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),45
2013,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),42
2013,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),41
2016,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,42
2014,18 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,43
2015,18 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,44
2015,18 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,42
2018,30 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,43
2012,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,44
2017,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,42
2015,30 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,44
2018,30 mois après le diplôme,femmes,Sciences juridiques,40
2014,18 mois après le diplôme,femmes,Sciences juridiques,38
2016,18 mois après le diplôme,hommes,Sciences juridiques,43
2016,18 mois après le diplôme,femmes,Sciences juridiques,42
2015,30 mois après le diplôme,femmes et hommes,Sciences juridiques,44
2011,30 mois après le diplôme,femmes et hommes,Sciences juridiques,42
2016,30 mois après le diplôme,femmes,Sciences juridiques,42
2016,30 mois après le diplôme,hommes,Sciences juridiques,43
2013,30 mois après le diplôme,femmes,Sciences juridiques,38
2018,18 mois après le diplôme,hommes,Sciences politiques,51
2018,30 mois après le diplôme,femmes,Sciences politiques,43
2014,30 mois après le diplôme,hommes,Sciences politiques,45
2012,30 mois après le diplôme,femmes et hommes,Sciences politiques,38
2012,30 mois après le diplôme,femmes,Sciences politiques,39
2015,30 mois après le diplôme,femmes et hommes,Sciences politiques,49
2016,30 mois après le diplôme,femmes,Sciences politiques,48
2017,18 mois après le diplôme,femmes et hommes,Sciences politiques,42
2013,18 mois après le diplôme,femmes,Sciences politiques,39
2013,18 mois après le diplôme,femmes et hommes,Sciences politiques,41
2013,30 mois après le diplôme,femmes,Sciences politiques,39
2018,18 mois après le diplôme,hommes,Sciences  economiques,50
2012,30 mois après le diplôme,femmes et hommes,Sciences  economiques,42
2012,18 mois après le diplôme,femmes,Sciences  economiques,43
2012,18 mois après le diplôme,hommes,Sciences  economiques,42
2012,30 mois après le diplôme,femmes,Sciences  economiques,43
2013,18 mois après le diplôme,femmes et hommes,Sciences  economiques,39
2017,18 mois après le diplôme,femmes,Sciences  economiques,43
2015,30 mois après le diplôme,hommes,Sciences de gestion,45
2016,18 mois après le diplôme,femmes et hommes,Sciences de gestion,43
2016,30 mois après le diplôme,hommes,Sciences de gestion,44
2015,30 mois après le diplôme,femmes et hommes,Sciences de gestion,44
2016,30 mois après le diplôme,femmes,Sciences de gestion,42
2015,30 mois après le diplôme,femmes,Sciences de gestion,43
2012,30 mois après le diplôme,hommes,Sciences de gestion,48
2017,30 mois après le diplôme,femmes et hommes,Sciences de gestion,42
2013,18 mois après le diplôme,femmes,Sciences de gestion,39
2014,18 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,37
2013,30 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,33
2013,18 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,33
2016,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,41
2015,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,35
2015,30 mois après le diplôme,femmes,Administration  economique et sociale,31
2017,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,42
2016,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,41
2012,18 mois après le diplôme,femmes,Administration  economique et sociale,49
2017,30 mois après le diplôme,hommes,Administration  economique et sociale,48
2012,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,52
2017,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,42
2013,30 mois après le diplôme,hommes,Administration  economique et sociale,41
2013,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,36
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,60
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,60
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,64
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,64
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,13
2017,18 mois après le diplôme,hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,16
2016,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,26
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,38
2015,18 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,41
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,38
2012,18 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,31
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,20
2014,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,40
2014,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,45
2016,18 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,48
2016,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,48
2018,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,47
2018,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,46
2016,30 mois après le diplôme,hommes,Arts,38
2013,30 mois après le diplôme,femmes et hommes,Arts,37
2015,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,74
2015,30 mois après le diplôme,femmes,Français  langue  etrangère,75
2017,30 mois après le diplôme,femmes,Français  langue  etrangère,42
2017,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,43
2016,30 mois après le diplôme,femmes,Français  langue  etrangère,48
2017,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,43
2013,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,57
2013,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,57
2014,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,41
2014,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,42
2014,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,35
2015,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,35
2016,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,48
2012,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,43
2017,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,38
2015,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,52
2012,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,41
2012,30 mois après le diplôme,hommes,Langues et litt eratures  etrangères,43
2017,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,38
2017,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,39
2013,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,43
2013,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,43
2018,30 mois après le diplôme,femmes,Langues et litt eratures françaises,40
2014,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,38
2016,18 mois après le diplôme,femmes,Langues et litt eratures françaises,31
2015,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,40
2015,18 mois après le diplôme,femmes,Langues et litt eratures françaises,40
2011,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,39
2014,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,55
2018,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,53
2015,30 mois après le diplôme,hommes,Langues  etrangères appliqu ees,55
2015,30 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,55
2015,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,55
2018,30 mois après le diplôme,hommes,Langues  etrangères appliqu ees,56
2017,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,55
2017,18 mois après le diplôme,hommes,Langues  etrangères appliqu ees,55
2015,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,52
2016,18 mois après le diplôme,femmes,Sciences du langage  linguistique,62
2018,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,49
2016,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,62
2012,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,46
2017,30 mois après le diplôme,femmes,Sciences du langage  linguistique,59
2013,30 mois après le diplôme,femmes,Sciences du langage  linguistique,41
2013,18 mois après le diplôme,femmes,Sciences du langage  linguistique,41
2016,18 mois après le diplôme,femmes,Pluridisciplinaire langues,49
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,56
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,53
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,44
2015,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,41
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,44
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,44
2016,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,44
2013,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,39
2014,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,43
2016,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,42
2015,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,44
2017,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,35
2014,30 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,37
2018,18 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,39
2014,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,39
2018,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,39
2014,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,42
2016,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,40
2017,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,39
2015,18 mois après le diplôme,hommes,Histoire,34
2013,18 mois après le diplôme,hommes,Histoire,41
2013,30 mois après le diplôme,hommes,Histoire,41
2013,30 mois après le diplôme,femmes et hommes,Histoire,43
2014,30 mois après le diplôme,hommes,G eographie,40
2014,30 mois après le diplôme,femmes,G eographie,38
2015,18 mois après le diplôme,hommes,G eographie,44
2017,18 mois après le diplôme,hommes,G eographie,40
2013,30 mois après le diplôme,femmes et hommes,G eographie,39
2014,18 mois après le diplôme,hommes,Psychologie,37
2015,18 mois après le diplôme,femmes,Psychologie,37
2017,30 mois après le diplôme,hommes,Psychologie,33
2017,18 mois après le diplôme,femmes et hommes,Psychologie,34
2012,30 mois après le diplôme,femmes et hommes,Psychologie,42
2013,30 mois après le diplôme,femmes,Psychologie,36
2014,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,40
2014,30 mois après le diplôme,femmes,Sciences de l'information et la communication,38
2018,30 mois après le diplôme,femmes,Sciences de l'information et la communication,38
2016,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,42
2012,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,44
2014,30 mois après le diplôme,femmes,Am enagement,45
2016,30 mois après le diplôme,hommes,Am enagement,42
2017,18 mois après le diplôme,femmes et hommes,Am enagement,43
2016,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,48
2013,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,43
2012,18 mois après le diplôme,femmes,Arts,46
2012,30 mois après le diplôme,hommes,Arts,27
2013,30 mois après le diplôme,hommes,Arts,34
2018,30 mois après le diplôme,femmes et hommes,Arts,36
2013,18 mois après le diplôme,femmes et hommes,Arts,37
2013,18 mois après le diplôme,hommes,Arts,34
2018,30 mois après le diplôme,femmes et hommes,Histoire-g eographie,40
2018,18 mois après le diplôme,femmes,Histoire,41
2014,30 mois après le diplôme,femmes et hommes,Histoire,37
2012,18 mois après le diplôme,hommes,Histoire,38
2014,18 mois après le diplôme,femmes,G eographie,38
2015,30 mois après le diplôme,hommes,G eographie,44
2016,18 mois après le diplôme,hommes,G eographie,44
2012,18 mois après le diplôme,hommes,G eographie,50
2017,30 mois après le diplôme,femmes et hommes,G eographie,42
2016,30 mois après le diplôme,femmes et hommes,Psychologie,38
2012,18 mois après le diplôme,hommes,Psychologie,35
2016,30 mois après le diplôme,hommes,Sciences de l'information et la communication,48
2015,18 mois après le diplôme,femmes,Sciences de l'information et la communication,42
2015,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,44
2017,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,43
2017,30 mois après le diplôme,femmes et hommes,Am enagement,43
2017,18 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,55
2014,18 mois après le diplôme,femmes,Philosophie   epist emologie,33
2012,30 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,28
2017,18 mois après le diplôme,femmes,Philosophie   epist emologie,30
2013,30 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,20
2018,18 mois après le diplôme,femmes et hommes,Sciences de l' education,34
2016,30 mois après le diplôme,hommes,Sociologie  d emographie,34
2015,18 mois après le diplôme,femmes et hommes,Sociologie  d emographie,34
2012,18 mois après le diplôme,hommes,Sociologie  d emographie,21
2016,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,34
2016,30 mois après le diplôme,femmes,Sociologie  d emographie,34
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,37
2018,30 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,39
2016,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,36
2012,30 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,36
2012,30 mois après le diplôme,hommes,G enie civil,56
2013,30 mois après le diplôme,hommes,G enie civil,49
2015,30 mois après le diplôme,femmes,G enie des proc ed es,50
2017,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,58
2017,30 mois après le diplôme,hommes,G enie des proc ed es,62
2012,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,55
2013,30 mois après le diplôme,hommes,G enie des proc ed es,50
2013,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,52
2014,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,56
2014,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,55
2014,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,56
2018,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,45
2018,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,49
2016,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,55
2016,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,44
2015,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,54
2012,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,55
2017,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,40
2014,18 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,43
2012,18 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,45
2017,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,42
2017,30 mois après le diplôme,femmes,Technologie et sciences industrielles,36
2016,30 mois après le diplôme,femmes,Technologie et sciences industrielles,36
2017,30 mois après le diplôme,hommes,Technologie et sciences industrielles,44
2013,30 mois après le diplôme,femmes,Technologie et sciences industrielles,33
2014,18 mois après le diplôme,femmes,Informatique,37
2014,18 mois après le diplôme,femmes et hommes,Informatique,32
2014,30 mois après le diplôme,hommes,Informatique,31
2016,18 mois après le diplôme,femmes et hommes,Informatique,33
2015,18 mois après le diplôme,femmes,Informatique,31
2012,30 mois après le diplôme,hommes,Informatique,31
2012,18 mois après le diplôme,hommes,Informatique,31
2012,30 mois après le diplôme,femmes,Informatique,36
2015,18 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,44
2016,30 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,45
2015,18 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,67
2015,18 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,67
2012,30 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,60
2016,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,75
2013,18 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,50
2013,30 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,50
2016,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,31
2012,30 mois après le diplôme,hommes,Math ematique et informatique,25
2011,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,36
2014,30 mois après le diplôme,femmes,M edecine,40
2015,30 mois après le diplôme,hommes,M edecine,54
2015,18 mois après le diplôme,femmes,M edecine,43
2015,18 mois après le diplôme,femmes et hommes,M edecine,46
2018,30 mois après le diplôme,femmes,M edecine,48
2015,30 mois après le diplôme,femmes,M edecine,43
2015,30 mois après le diplôme,femmes et hommes,M edecine,46
2013,30 mois après le diplôme,femmes et hommes,M edecine,41
2014,18 mois après le diplôme,femmes et hommes,Pharmacie,64
2016,30 mois après le diplôme,hommes,Pharmacie,70
2013,18 mois après le diplôme,femmes et hommes,Pharmacie,53
2013,18 mois après le diplôme,femmes,Pharmacie,51
2017,18 mois après le diplôme,femmes,Pharmacie,55
2018,18 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,41
2016,18 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,44
2016,18 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,39
2016,30 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,39
2015,30 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,39
2015,18 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,39
2017,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,43
2017,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,44
2013,18 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,42
2018,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,38
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,56
2014,30 mois après le diplôme,femmes,Pluridisciplinaire sciences,49
2015,30 mois après le diplôme,hommes,Pluridisciplinaire sciences,32
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences,49
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,41
2017,30 mois après le diplôme,femmes,Pluridisciplinaire sciences,45
2017,30 mois après le diplôme,hommes,Pluridisciplinaire sciences,58
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,41
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,55
2016,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,54
2017,18 mois après le diplôme,hommes,Pluridisciplinaire sciences,58
2013,18 mois après le diplôme,femmes,Pluridisciplinaire sciences,52
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences fondamentales et applications,23
2014,30 mois après le diplôme,hommes,Masters enseignement,31
2016,30 mois après le diplôme,hommes,Masters enseignement,37
2015,30 mois après le diplôme,hommes,Masters enseignement,41
2015,30 mois après le diplôme,femmes et hommes,Masters enseignement,27
2014,18 mois après le diplôme,femmes et hommes,Masters enseignement,17
2016,18 mois après le diplôme,hommes,Masters enseignement,37
2015,18 mois après le diplôme,femmes,Masters enseignement,23
2015,18 mois après le diplôme,femmes et hommes,Masters enseignement,27
2012,30 mois après le diplôme,femmes et hommes,Masters enseignement,29
2012,18 mois après le diplôme,femmes,Masters enseignement,26
2013,18 mois après le diplôme,femmes,Psychologie,36
2018,18 mois après le diplôme,hommes,Sciences de l'information et la communication,34
2014,18 mois après le diplôme,hommes,Sciences de l'information et la communication,45
2015,30 mois après le diplôme,hommes,Sciences de l'information et la communication,50
2015,30 mois après le diplôme,femmes,Sciences de l'information et la communication,42
2012,30 mois après le diplôme,hommes,Sciences de l'information et la communication,49
2013,30 mois après le diplôme,hommes,Sciences de l'information et la communication,50
2013,18 mois après le diplôme,hommes,Sciences de l'information et la communication,50
2015,30 mois après le diplôme,femmes et hommes,Am enagement,45
2014,30 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,45
2012,30 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,44
2018,30 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,47
2013,30 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,31
2018,30 mois après le diplôme,femmes,Philosophie   epist emologie,30
2015,18 mois après le diplôme,femmes,Philosophie   epist emologie,34
2018,30 mois après le diplôme,femmes,Sciences de l' education,32
2016,18 mois après le diplôme,femmes et hommes,Sciences de l' education,33
2016,30 mois après le diplôme,femmes,Sciences de l' education,35
2015,30 mois après le diplôme,femmes,Sciences de l' education,28
2012,18 mois après le diplôme,femmes et hommes,Sciences de l' education,26
2013,30 mois après le diplôme,femmes,Sciences de l' education,32
2018,18 mois après le diplôme,hommes,Sociologie  d emographie,28
2018,18 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,34
2018,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,39
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,41
2017,30 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,39
2012,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,25
2017,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,44
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,41
2013,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,38
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,38
2018,18 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,47
2014,30 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,49
2015,18 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,48
2015,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,45
2012,30 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,51
2017,30 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,44
2017,18 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,48
2018,18 mois après le diplôme,hommes,Sciences de la vie et de la terre,52
2017,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,52
2018,30 mois après le diplôme,hommes,Sciences de la vie et de la terre,52
2017,18 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,52
2018,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,50
2013,18 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,53
2014,30 mois après le diplôme,femmes,Sciences de la vie,52
2015,18 mois après le diplôme,femmes,Sciences de la vie,50
2012,18 mois après le diplôme,femmes,Sciences de la vie,59
2015,30 mois après le diplôme,femmes et hommes,Sciences de la vie,52
2012,18 mois après le diplôme,femmes et hommes,Sciences de la vie,61
2016,30 mois après le diplôme,femmes et hommes,Sciences de la vie,56
2017,30 mois après le diplôme,femmes,Sciences de la vie,50
2015,30 mois après le diplôme,femmes,Sciences de la vie,50
2013,30 mois après le diplôme,femmes et hommes,Sciences de la vie,53
2018,18 mois après le diplôme,hommes,Sciences de l'univers,52
2018,18 mois après le diplôme,femmes,Sciences de l'univers,50
2016,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,51
2012,30 mois après le diplôme,femmes,Sciences de l'univers,63
2012,18 mois après le diplôme,femmes,Sciences de l'univers,63
2012,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,60
2018,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,51
2013,30 mois après le diplôme,femmes,Sciences de l'univers,53
2013,18 mois après le diplôme,femmes,Sciences de l'univers,53
2013,18 mois après le diplôme,hommes,Sciences de l'univers,58
2014,30 mois après le diplôme,hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,50
2012,30 mois après le diplôme,hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,44
2016,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,60
2018,18 mois après le diplôme,femmes et hommes,Sciences fondamentales,52
2014,18 mois après le diplôme,femmes et hommes,Sciences fondamentales,53
2018,18 mois après le diplôme,femmes,Sciences fondamentales,53
2014,30 mois après le diplôme,femmes et hommes,Chimie,55
2014,30 mois après le diplôme,femmes,Chimie,54
2014,30 mois après le diplôme,hommes,Chimie,56
2016,30 mois après le diplôme,hommes,Chimie,51
2016,30 mois après le diplôme,femmes et hommes,Chimie,52
2018,30 mois après le diplôme,femmes et hommes,Chimie,55
2017,18 mois après le diplôme,hommes,Chimie,53
2018,18 mois après le diplôme,hommes,Physique,53
2016,18 mois après le diplôme,femmes,Physique,68
2015,18 mois après le diplôme,femmes et hommes,Physique,44
2018,30 mois après le diplôme,hommes,Physique,53
2015,30 mois après le diplôme,femmes et hommes,Physique,44
2016,30 mois après le diplôme,femmes,Physique,68
2013,30 mois après le diplôme,hommes,Physique,54
2013,30 mois après le diplôme,femmes et hommes,Physique,51
2013,18 mois après le diplôme,femmes,Physique,43
2014,30 mois après le diplôme,hommes,Physique et chimie,66
2015,18 mois après le diplôme,femmes et hommes,Physique et chimie,77
2017,30 mois après le diplôme,femmes,Physique et chimie,60
2014,30 mois après le diplôme,femmes et hommes,Math ematiques,45
