Ann ee,situation,Genre,Secteur disciplinaire,Part des diplôm es boursiers dans la discipline
2013,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),30
2016,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,25
2014,18 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,23
2015,18 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,23
2015,18 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,26
2018,30 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,25
2012,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,25
2017,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,26
2015,30 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,23
2018,30 mois après le diplôme,femmes,Sciences juridiques,31
2014,18 mois après le diplôme,femmes,Sciences juridiques,29
2016,18 mois après le diplôme,hommes,Sciences juridiques,26
2016,18 mois après le diplôme,femmes,Sciences juridiques,29
2015,30 mois après le diplôme,femmes et hommes,Sciences juridiques,29
2011,30 mois après le diplôme,femmes et hommes,Sciences juridiques,29
2016,30 mois après le diplôme,femmes,Sciences juridiques,29
2016,30 mois après le diplôme,hommes,Sciences juridiques,26
2013,30 mois après le diplôme,femmes,Sciences juridiques,28
2018,18 mois après le diplôme,hommes,Sciences politiques,30
2018,30 mois après le diplôme,femmes,Sciences politiques,33
2014,30 mois après le diplôme,hommes,Sciences politiques,26
2012,30 mois après le diplôme,femmes et hommes,Sciences politiques,24
2015,30 mois après le diplôme,femmes et hommes,Sciences politiques,33
2016,30 mois après le diplôme,femmes,Sciences politiques,34
2017,18 mois après le diplôme,femmes et hommes,Sciences politiques,33
2013,18 mois après le diplôme,femmes,Sciences politiques,25
2013,18 mois après le diplôme,femmes et hommes,Sciences politiques,27
2013,30 mois après le diplôme,femmes,Sciences politiques,25
2018,18 mois après le diplôme,hommes,Sciences  economiques,26
2012,30 mois après le diplôme,femmes et hommes,Sciences  economiques,32
2013,18 mois après le diplôme,femmes et hommes,Sciences  economiques,28
2017,18 mois après le diplôme,femmes,Sciences  economiques,31
2015,30 mois après le diplôme,hommes,Sciences de gestion,20
2016,18 mois après le diplôme,femmes et hommes,Sciences de gestion,22
2016,30 mois après le diplôme,hommes,Sciences de gestion,20
2015,30 mois après le diplôme,femmes et hommes,Sciences de gestion,20
2016,30 mois après le diplôme,femmes,Sciences de gestion,23
2015,30 mois après le diplôme,femmes,Sciences de gestion,21
2017,30 mois après le diplôme,femmes et hommes,Sciences de gestion,22
2013,18 mois après le diplôme,femmes,Sciences de gestion,22
2014,18 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,28
2013,30 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,29
2013,18 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,29
2016,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,32
2015,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,37
2015,30 mois après le diplôme,femmes,Administration  economique et sociale,40
2017,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,26
2016,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,32
2017,30 mois après le diplôme,hommes,Administration  economique et sociale,24
2012,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,36
2017,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,26
2013,30 mois après le diplôme,hommes,Administration  economique et sociale,33
2013,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,38
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,39
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,39
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,26
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,26
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,43
2017,18 mois après le diplôme,hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,28
2016,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,23
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,23
2015,18 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,17
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,21
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,19
2014,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,41
2014,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,39
2016,18 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,37
2016,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,41
2018,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,38
2018,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,42
2016,30 mois après le diplôme,hommes,Arts,35
2013,30 mois après le diplôme,femmes et hommes,Arts,32
2015,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,23
2015,30 mois après le diplôme,femmes,Français  langue  etrangère,24
2017,30 mois après le diplôme,femmes,Français  langue  etrangère,40
2017,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,39
2016,30 mois après le diplôme,femmes,Français  langue  etrangère,30
2017,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,39
2013,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,33
2013,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,33
2011,30 mois après le diplôme,femmes et hommes,Langues et litt eratures anciennes,29
2014,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,36
2014,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,37
2014,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,33
2015,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,42
2016,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,40
2017,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,43
2015,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,41
2017,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,43
2017,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,45
2013,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,37
2013,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,37
2018,30 mois après le diplôme,femmes,Langues et litt eratures françaises,42
2014,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,32
2016,18 mois après le diplôme,hommes,Langues et litt eratures françaises,31
2016,18 mois après le diplôme,femmes,Langues et litt eratures françaises,42
2015,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,37
2015,18 mois après le diplôme,femmes,Langues et litt eratures françaises,39
2011,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,29
2014,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,48
2018,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,45
2015,30 mois après le diplôme,hommes,Langues  etrangères appliqu ees,42
2015,30 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,45
2015,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,45
2018,30 mois après le diplôme,hommes,Langues  etrangères appliqu ees,36
2017,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,47
2017,18 mois après le diplôme,hommes,Langues  etrangères appliqu ees,44
2014,18 mois après le diplôme,femmes,Litt erature g en erale et compar ee,39
2015,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,39
2016,18 mois après le diplôme,femmes,Sciences du langage  linguistique,37
2018,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,35
2016,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,37
2012,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,30
2017,30 mois après le diplôme,femmes,Sciences du langage  linguistique,40
2013,30 mois après le diplôme,femmes,Sciences du langage  linguistique,33
2013,18 mois après le diplôme,femmes,Sciences du langage  linguistique,33
2016,18 mois après le diplôme,femmes,Pluridisciplinaire langues,36
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,31
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,25
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,39
2015,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,40
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,46
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,29
2016,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,38
2013,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,39
2017,18 mois après le diplôme,hommes,Pluridisciplinaire lettres  langues  sciences humaines,43
2014,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,42
2014,18 mois après le diplôme,hommes,Pluridisciplinaire lettres  sciences du langage  arts,45
2016,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,40
2015,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,41
2017,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,46
2014,30 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,34
2018,18 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,38
2014,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,33
2018,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,37
2014,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,30
2016,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,35
2017,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,36
2015,18 mois après le diplôme,hommes,Histoire,36
2013,18 mois après le diplôme,hommes,Histoire,30
2013,30 mois après le diplôme,hommes,Histoire,30
2013,30 mois après le diplôme,femmes et hommes,Histoire,37
2014,30 mois après le diplôme,hommes,G eographie,35
2014,30 mois après le diplôme,femmes,G eographie,43
2015,18 mois après le diplôme,hommes,G eographie,33
2017,18 mois après le diplôme,hommes,G eographie,33
2013,30 mois après le diplôme,femmes et hommes,G eographie,29
2014,18 mois après le diplôme,hommes,Psychologie,30
2015,18 mois après le diplôme,femmes,Psychologie,37
2017,30 mois après le diplôme,hommes,Psychologie,39
2017,18 mois après le diplôme,femmes et hommes,Psychologie,38
2012,30 mois après le diplôme,femmes et hommes,Psychologie,35
2013,30 mois après le diplôme,femmes,Psychologie,31
2014,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,29
2014,30 mois après le diplôme,femmes,Sciences de l'information et la communication,30
2018,30 mois après le diplôme,femmes,Sciences de l'information et la communication,35
2016,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,30
2012,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,29
2014,30 mois après le diplôme,femmes,Am enagement,35
2016,30 mois après le diplôme,hommes,Am enagement,31
2017,18 mois après le diplôme,femmes et hommes,Am enagement,33
2016,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,40
2013,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,36
2013,30 mois après le diplôme,hommes,Arts,32
2018,30 mois après le diplôme,femmes et hommes,Arts,41
2013,18 mois après le diplôme,femmes et hommes,Arts,32
2013,18 mois après le diplôme,hommes,Arts,32
2018,30 mois après le diplôme,femmes et hommes,Histoire-g eographie,39
2018,18 mois après le diplôme,femmes,Histoire,44
2014,30 mois après le diplôme,femmes et hommes,Histoire,36
2014,18 mois après le diplôme,femmes,G eographie,43
2015,30 mois après le diplôme,hommes,G eographie,33
2016,18 mois après le diplôme,hommes,G eographie,35
2017,30 mois après le diplôme,femmes et hommes,G eographie,33
2016,30 mois après le diplôme,femmes et hommes,Psychologie,39
2016,30 mois après le diplôme,hommes,Sciences de l'information et la communication,26
2015,18 mois après le diplôme,femmes,Sciences de l'information et la communication,31
2015,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,30
2017,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,35
2017,30 mois après le diplôme,femmes et hommes,Am enagement,33
2017,18 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,48
2014,18 mois après le diplôme,femmes,Philosophie   epist emologie,23
2012,30 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,18
2017,18 mois après le diplôme,femmes,Philosophie   epist emologie,31
2013,30 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,30
2018,18 mois après le diplôme,femmes et hommes,Sciences de l' education,34
2011,30 mois après le diplôme,femmes et hommes,Sciences religieuses,29
2016,30 mois après le diplôme,hommes,Sociologie  d emographie,45
2015,18 mois après le diplôme,femmes et hommes,Sociologie  d emographie,35
2016,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,40
2016,30 mois après le diplôme,femmes,Sociologie  d emographie,39
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,39
2018,30 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,37
2016,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,22
2013,30 mois après le diplôme,hommes,G enie civil,29
2018,30 mois après le diplôme,femmes,G enie des proc ed es,52
2015,30 mois après le diplôme,femmes,G enie des proc ed es,27
2017,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,28
2017,30 mois après le diplôme,hommes,G enie des proc ed es,24
2012,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,35
2013,30 mois après le diplôme,hommes,G enie des proc ed es,25
2013,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,28
2014,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,32
2014,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,29
2014,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,32
2018,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,32
2018,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,27
2016,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,29
2016,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,27
2015,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,28
2012,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,35
2017,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,38
2014,18 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,22
2012,18 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,17
2017,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,20
2017,30 mois après le diplôme,femmes,Technologie et sciences industrielles,18
2016,30 mois après le diplôme,femmes,Technologie et sciences industrielles,17
2017,30 mois après le diplôme,hommes,Technologie et sciences industrielles,21
2013,30 mois après le diplôme,femmes,Technologie et sciences industrielles,18
2014,18 mois après le diplôme,femmes,Informatique,37
2014,18 mois après le diplôme,femmes et hommes,Informatique,31
2014,30 mois après le diplôme,hommes,Informatique,30
2016,18 mois après le diplôme,femmes et hommes,Informatique,30
2015,18 mois après le diplôme,femmes,Informatique,38
2015,18 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,30
2016,30 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,32
2016,18 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,35
2016,30 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,35
2015,18 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,34
2015,18 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,33
2016,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,29
2013,18 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,30
2013,30 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,29
2016,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,20
2011,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,29
2014,30 mois après le diplôme,femmes,M edecine,31
2015,30 mois après le diplôme,hommes,M edecine,20
2015,18 mois après le diplôme,femmes,M edecine,29
2015,18 mois après le diplôme,femmes et hommes,M edecine,27
2018,30 mois après le diplôme,femmes,M edecine,46
2015,30 mois après le diplôme,femmes,M edecine,29
2015,30 mois après le diplôme,femmes et hommes,M edecine,27
2013,30 mois après le diplôme,femmes et hommes,M edecine,26
2014,18 mois après le diplôme,femmes et hommes,Pharmacie,28
2016,30 mois après le diplôme,hommes,Pharmacie,42
2013,18 mois après le diplôme,femmes et hommes,Pharmacie,29
2013,18 mois après le diplôme,femmes,Pharmacie,27
2017,18 mois après le diplôme,femmes,Pharmacie,37
2018,18 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,34
2016,18 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,35
2016,18 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,33
2016,30 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,33
2015,30 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,36
2015,18 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,36
2017,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,33
2017,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,37
2013,18 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,30
2018,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,34
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,34
2014,30 mois après le diplôme,femmes,Pluridisciplinaire sciences,23
2015,30 mois après le diplôme,hommes,Pluridisciplinaire sciences,35
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences,23
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,31
2017,30 mois après le diplôme,femmes,Pluridisciplinaire sciences,40
2017,30 mois après le diplôme,hommes,Pluridisciplinaire sciences,37
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,31
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,29
2016,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,34
2017,18 mois après le diplôme,hommes,Pluridisciplinaire sciences,37
2013,18 mois après le diplôme,femmes,Pluridisciplinaire sciences,23
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences fondamentales et applications,26
2014,30 mois après le diplôme,hommes,Masters enseignement,34
2014,30 mois après le diplôme,femmes,Masters enseignement,37
2016,30 mois après le diplôme,hommes,Masters enseignement,16
2015,30 mois après le diplôme,hommes,Masters enseignement,19
2015,30 mois après le diplôme,femmes et hommes,Masters enseignement,19
2014,18 mois après le diplôme,femmes et hommes,Masters enseignement,36
2016,18 mois après le diplôme,hommes,Masters enseignement,16
2015,18 mois après le diplôme,femmes,Masters enseignement,18
2015,18 mois après le diplôme,femmes et hommes,Masters enseignement,19
2012,30 mois après le diplôme,femmes et hommes,Masters enseignement,38
2013,18 mois après le diplôme,femmes,Psychologie,31
2018,18 mois après le diplôme,hommes,Sciences de l'information et la communication,35
2014,18 mois après le diplôme,hommes,Sciences de l'information et la communication,28
2015,30 mois après le diplôme,hommes,Sciences de l'information et la communication,28
2015,30 mois après le diplôme,femmes,Sciences de l'information et la communication,31
2013,30 mois après le diplôme,hommes,Sciences de l'information et la communication,26
2013,18 mois après le diplôme,hommes,Sciences de l'information et la communication,26
2015,30 mois après le diplôme,femmes et hommes,Am enagement,34
2014,30 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,35
2018,30 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,41
2013,30 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,37
2018,30 mois après le diplôme,femmes,Philosophie   epist emologie,25
2015,30 mois après le diplôme,hommes,Philosophie   epist emologie,29
2015,18 mois après le diplôme,femmes,Philosophie   epist emologie,29
2016,30 mois après le diplôme,femmes,Philosophie   epist emologie,26
2018,30 mois après le diplôme,hommes,Philosophie   epist emologie,47
2018,30 mois après le diplôme,femmes,Sciences de l' education,35
2016,18 mois après le diplôme,femmes et hommes,Sciences de l' education,35
2016,30 mois après le diplôme,femmes,Sciences de l' education,36
2015,30 mois après le diplôme,femmes,Sciences de l' education,35
2012,18 mois après le diplôme,femmes et hommes,Sciences de l' education,28
2013,30 mois après le diplôme,femmes,Sciences de l' education,36
2018,18 mois après le diplôme,hommes,Sociologie  d emographie,39
2018,18 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,23
2018,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,37
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,36
2017,30 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,44
2017,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,33
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,41
2013,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,35
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,34
2018,18 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,35
2014,30 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,32
2015,18 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,33
2015,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,32
2012,30 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,30
2017,30 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,33
2017,18 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,34
2018,18 mois après le diplôme,hommes,Sciences de la vie et de la terre,34
2017,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,35
2018,30 mois après le diplôme,hommes,Sciences de la vie et de la terre,34
2017,18 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,35
2018,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,36
2013,18 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,34
2014,30 mois après le diplôme,femmes,Sciences de la vie,34
2015,18 mois après le diplôme,femmes,Sciences de la vie,38
2015,30 mois après le diplôme,femmes et hommes,Sciences de la vie,36
2012,18 mois après le diplôme,femmes et hommes,Sciences de la vie,34
2016,30 mois après le diplôme,femmes et hommes,Sciences de la vie,35
2017,30 mois après le diplôme,femmes,Sciences de la vie,37
2015,30 mois après le diplôme,femmes,Sciences de la vie,38
2013,30 mois après le diplôme,femmes et hommes,Sciences de la vie,34
2018,18 mois après le diplôme,hommes,Sciences de l'univers,33
2018,18 mois après le diplôme,femmes,Sciences de l'univers,35
2016,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,33
2012,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,37
2018,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,34
2013,30 mois après le diplôme,femmes,Sciences de l'univers,39
2013,18 mois après le diplôme,femmes,Sciences de l'univers,39
2013,18 mois après le diplôme,hommes,Sciences de l'univers,34
2014,30 mois après le diplôme,hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,37
2016,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,43
2017,18 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,51
2018,18 mois après le diplôme,femmes et hommes,Sciences fondamentales,33
2014,18 mois après le diplôme,femmes et hommes,Sciences fondamentales,30
2018,18 mois après le diplôme,femmes,Sciences fondamentales,32
2014,30 mois après le diplôme,femmes et hommes,Chimie,27
2014,30 mois après le diplôme,femmes,Chimie,26
2014,30 mois après le diplôme,hommes,Chimie,28
2016,30 mois après le diplôme,hommes,Chimie,34
2016,30 mois après le diplôme,femmes et hommes,Chimie,29
2018,30 mois après le diplôme,femmes et hommes,Chimie,34
2017,18 mois après le diplôme,hommes,Chimie,31
2018,18 mois après le diplôme,hommes,Physique,29
2016,18 mois après le diplôme,femmes,Physique,42
2015,18 mois après le diplôme,femmes et hommes,Physique,30
2018,30 mois après le diplôme,hommes,Physique,29
2015,30 mois après le diplôme,femmes et hommes,Physique,30
2016,30 mois après le diplôme,femmes,Physique,42
2013,30 mois après le diplôme,hommes,Physique,35
2013,30 mois après le diplôme,femmes et hommes,Physique,36
2013,18 mois après le diplôme,femmes,Physique,37
2014,30 mois après le diplôme,hommes,Physique et chimie,45
2014,18 mois après le diplôme,femmes,Physique et chimie,42
2015,18 mois après le diplôme,femmes et hommes,Physique et chimie,39
2017,30 mois après le diplôme,femmes,Physique et chimie,34
2014,30 mois après le diplôme,femmes et hommes,Math ematiques,29
2018,30 mois après le diplôme,femmes et hommes,Math ematiques,30
2016,30 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,26
2016,30 mois après le diplôme,femmes,Math ematiques appliqu ees et sciences sociales,30
2017,30 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,33
2013,30 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,29
2013,30 mois après le diplôme,femmes,Math ematiques appliqu ees et sciences sociales,30
2017,18 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,30
2014,30 mois après le diplôme,femmes et hommes,Sciences de l'ing enieur,30
2013,18 mois après le diplôme,femmes et hommes,Sciences de l'ing enieur,28
2012,18 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,27
2017,18 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,40
2016,30 mois après le diplôme,hommes,G enie civil,38
2014,18 mois après le diplôme,hommes,G enie civil,42
2014,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),28
2018,30 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),33
2018,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),33
2014,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),31
2016,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),31
2017,18 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),32
2015,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),30
2016,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),28
2018,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),31
2015,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),28
2013,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),27
2014,30 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,23
2018,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,25
2014,30 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,25
2014,30 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,26
2016,18 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,23
2011,30 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,29
2016,30 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,26
2013,18 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,25
